timestamp,open,high,low,close,volume
2025-09-20 00:00:00+00:00,115631.3,115812.01,115548.92,115723.73,4.84866
2025-09-20 01:00:00+00:00,115723.73,115723.73,115610.84,115623.51,4.88668
2025-09-20 02:00:00+00:00,115623.51,115623.51,115444.0,115606.4,9.28534
2025-09-20 03:00:00+00:00,115606.39,115606.4,115408.48,115444.99,2.09528
2025-09-20 04:00:00+00:00,115445.0,115581.23,115211.82,115568.41,37.14815
2025-09-20 05:00:00+00:00,115568.4,115717.5,115309.76,115717.49,24.28857
2025-09-20 06:00:00+00:00,115717.5,115724.33,115625.85,115700.46,10.46647
2025-09-20 07:00:00+00:00,115700.46,115985.19,115683.47,115968.57,11.88674
2025-09-20 08:00:00+00:00,115968.56,115968.57,114863.64,115701.42,17.89215
2025-09-20 09:00:00+00:00,115701.42,115974.6,115671.32,115672.79,21.85709
2025-09-20 10:00:00+00:00,115672.8,115961.28,115672.79,115747.54,8.7342
2025-09-20 11:00:00+00:00,115747.55,115982.0,115747.54,115894.05,5.31146
2025-09-20 12:00:00+00:00,115894.06,115949.37,115804.47,115874.5,16.53991
2025-09-20 13:00:00+00:00,115874.5,115951.95,115859.49,115915.8,7.18215
2025-09-20 14:00:00+00:00,115915.8,116036.0,115883.3,115970.36,10.7698
2025-09-20 15:00:00+00:00,115970.37,116284.07,115946.93,115986.69,46.94138
2025-09-20 16:00:00+00:00,115986.7,116057.24,115886.5,116027.94,17.10455
2025-09-20 17:00:00+00:00,116027.94,116079.46,115817.28,115821.72,12.62522
2025-09-20 18:00:00+00:00,115821.72,115821.73,115700.0,115711.51,28.37618
2025-09-20 19:00:00+00:00,115711.51,115812.62,115698.08,115702.43,28.52426
2025-09-20 20:00:00+00:00,115702.0,115789.57,115689.91,115726.24,16.29648
2025-09-20 21:00:00+00:00,115726.24,115944.7,115721.1,115761.18,9.70464
2025-09-20 22:00:00+00:00,115762.2,115796.54,115742.15,115776.06,22.43013
2025-09-20 23:00:00+00:00,115776.06,115776.06,115622.61,115685.62,23.59299
