timestamp,open,high,low,close,volume
2025-09-05 02:00:00,846.56,847.75,845.44,847.34,3167.854
2025-09-05 03:00:00,847.34,847.34,844.48,845.78,2104.771
2025-09-05 04:00:00,845.78,846.36,843.61,846.01,3111.302
2025-09-05 05:00:00,846.0,847.53,845.35,846.76,3068.125
2025-09-05 06:00:00,846.77,847.02,845.1,846.7,2886.664
2025-09-05 07:00:00,846.7,851.17,846.69,850.68,8712.803
2025-09-05 08:00:00,850.67,850.92,847.53,849.6,5326.378
2025-09-05 09:00:00,849.6,850.34,847.56,849.6,3418.531
2025-09-05 10:00:00,849.59,850.54,848.8,850.15,3448.329
2025-09-05 11:00:00,850.14,851.0,849.46,850.9,2353.568
2025-09-05 12:00:00,850.89,854.62,849.15,854.41,13734.2
2025-09-05 13:00:00,854.41,857.73,853.77,856.12,10976.149
2025-09-05 14:00:00,856.12,856.12,844.71,847.91,25192.253
2025-09-05 15:00:00,847.91,850.0,846.71,848.81,6592.438
2025-09-05 16:00:00,848.81,850.04,848.44,849.43,3826.004
2025-09-05 17:00:00,849.44,849.89,848.58,849.71,2529.075
2025-09-05 18:00:00,849.7,850.97,848.8,850.65,2294.888
2025-09-05 19:00:00,850.65,851.65,850.4,850.96,2220.653
2025-09-05 20:00:00,850.96,852.53,850.12,852.27,2582.758
2025-09-05 21:00:00,852.28,852.4,848.5,850.06,3633.308
2025-09-05 22:00:00,850.05,852.18,849.72,851.36,1660.029
2025-09-05 23:00:00,851.37,851.37,849.25,850.14,2062.708
2025-09-06 00:00:00,850.14,852.08,849.55,852.08,3493.963
2025-09-06 01:00:00,852.07,855.54,851.7,855.29,5307.127
2025-09-06 02:00:00,855.3,856.25,853.0,855.42,5376.738
2025-09-06 03:00:00,855.42,859.61,854.98,858.2,9316.877
2025-09-06 04:00:00,858.2,859.96,855.99,857.93,8824.759
2025-09-06 05:00:00,857.93,858.55,856.04,856.04,3253.855
2025-09-06 06:00:00,856.05,859.79,856.05,858.27,5885.713
2025-09-06 07:00:00,858.28,859.54,857.6,859.42,5940.73
2025-09-06 08:00:00,859.42,859.92,858.62,859.39,5670.737
2025-09-06 09:00:00,859.39,859.44,856.66,856.9,9407.259
2025-09-06 10:00:00,856.91,859.81,856.43,859.81,11795.777
2025-09-06 11:00:00,859.81,862.0,859.16,861.07,11451.257
2025-09-06 12:00:00,861.07,865.0,860.87,861.79,12021.903
2025-09-06 13:00:00,861.8,863.26,859.43,861.43,7765.502
2025-09-06 14:00:00,861.43,863.37,860.42,863.21,4567.488
2025-09-06 15:00:00,863.2,863.39,858.95,859.51,4917.766
2025-09-06 16:00:00,859.52,861.74,857.49,860.93,6766.05
2025-09-06 17:00:00,860.93,861.24,858.94,859.35,4148.471
2025-09-06 18:00:00,859.34,860.3,858.29,859.55,5912.621
2025-09-06 19:00:00,859.56,859.85,857.5,857.79,2733.73
2025-09-06 20:00:00,857.8,858.64,856.59,858.49,1688.924
