timestamp,open,high,low,close,volume
2025-09-05 10:00:00+00:00,112368.34,118005.33,57583.97,57583.97,0.69332
2025-09-05 11:00:00+00:00,57583.97,112433.47,25000.0,112360.01,122.99521
2025-09-05 12:00:00+00:00,112360.01,162368.63,26938.44,113205.76,123.19197
2025-09-05 13:00:00+00:00,113205.77,152976.4,43082.01,113070.12,99.01013
2025-09-05 14:00:00+00:00,113070.12,121329.92,40612.01,110528.72,71.09173
2025-09-05 15:00:00+00:00,110542.71,111063.27,40721.73,110735.21,113.59364
2025-09-05 16:00:00+00:00,110712.4,110917.46,109786.92,110815.4,149.62429
2025-09-05 17:00:00+00:00,110815.4,134309.45,109786.92,110608.18,117.99664
2025-09-05 18:00:00+00:00,110608.18,116269.99,110571.62,111198.78,89.26841
2025-09-05 19:00:00+00:00,111198.77,135697.03,111120.16,111604.77,80.9092
2025-09-05 20:00:00+00:00,111604.76,111661.16,111149.03,111619.87,109.89607
2025-09-05 21:00:00+00:00,111619.86,131460.09,49941.01,110605.0,115.48691
2025-09-05 22:00:00+00:00,110605.0,110917.45,109790.09,110800.01,98.29903
2025-09-05 23:00:00+00:00,110800.0,111020.24,109790.09,110639.6,35.70212
2025-09-06 00:00:00+00:00,110652.26,115146.58,49948.0,110779.71,69.10931
2025-09-06 01:00:00+00:00,110779.7,110917.46,109722.54,110867.71,36.37711
2025-09-06 02:00:00+00:00,110867.7,133052.42,110644.84,111216.14,79.30879
2025-09-06 03:00:00+00:00,111216.14,111307.69,111008.8,111082.23,34.9218
2025-09-06 04:00:00+00:00,111082.22,111082.23,110644.58,110876.12,52.714
2025-09-06 05:00:00+00:00,110876.13,110876.13,110581.81,110714.01,40.708
2025-09-06 06:00:00+00:00,110714.01,110882.07,110714.01,110752.84,33.81004
2025-09-06 07:00:00+00:00,110752.83,110829.15,110750.64,110817.0,32.72517
2025-09-06 08:00:00+00:00,110817.01,110968.0,110774.47,110958.66,34.37603
2025-09-06 09:00:00+00:00,110958.67,110958.67,109722.54,110701.1,34.48811
2025-09-06 10:00:00+00:00,110695.07,110804.62,110677.83,110773.61,37.00257
2025-09-06 11:00:00+00:00,110773.61,111032.78,110675.58,110781.02,89.32901
2025-09-06 12:00:00+00:00,110781.02,111965.95,109722.54,110832.58,94.73135
2025-09-06 13:00:00+00:00,110832.59,111108.62,110822.0,110936.81,56.1581
2025-09-06 14:00:00+00:00,110936.81,121927.25,110750.0,110807.77,64.81141
2025-09-06 15:00:00+00:00,110807.77,121888.55,49951.0,110384.16,81.73958
2025-09-06 16:00:00+00:00,110652.47,111417.53,49946.0,110267.99,68.01488
2025-09-06 17:00:00+00:00,110267.99,110462.72,49944.01,110157.4,114.4677
2025-09-06 18:00:00+00:00,110157.4,122460.34,109884.94,110228.01,205.8524
2025-09-06 19:00:00+00:00,110228.01,110320.41,110000.0,110031.99,90.29506
2025-09-06 20:00:00+00:00,110031.99,121176.01,49951.0,110121.86,95.14311
2025-09-06 21:00:00+00:00,110158.22,110215.03,49955.99,110200.99,59.02708
2025-09-06 22:00:00+00:00,110201.0,110228.29,109904.75,110170.55,23.65826
2025-09-06 23:00:00+00:00,110170.55,110373.83,109919.47,110187.97,26.95932
2025-09-07 00:00:00+00:00,110187.97,110362.21,49951.0,110356.75,33.24517
2025-09-07 01:00:00+00:00,110356.75,110587.58,110174.13,110546.66,42.58432
2025-09-07 02:00:00+00:00,110546.66,110692.52,110444.43,110666.24,23.77459
2025-09-07 03:00:00+00:00,110666.24,110732.96,110596.71,110629.16,24.07761
2025-09-07 04:00:00+00:00,110629.16,110638.0,110449.86,110557.77,22.4396
2025-09-07 05:00:00+00:00,110557.76,110699.0,110557.76,110649.45,31.72128
2025-09-07 06:00:00+00:00,110649.44,110664.79,110441.62,110504.15,32.33239
2025-09-07 07:00:00+00:00,110504.14,110901.1,110463.1,110750.45,24.29649
2025-09-07 08:00:00+00:00,110750.46,111555.08,110506.29,111071.25,38.94468
2025-09-07 09:00:00+00:00,111071.25,200000.0,110876.88,111109.92,68.90618
2025-09-07 10:00:00+00:00,111109.93,111225.02,110904.76,111225.02,34.58445
2025-09-07 11:00:00+00:00,111225.02,111292.13,110144.0,111292.13,35.58842
2025-09-07 12:00:00+00:00,111292.13,111292.13,111073.17,111115.93,46.17044
2025-09-07 13:00:00+00:00,111115.93,111231.6,111042.83,111214.62,42.81949
2025-09-07 14:00:00+00:00,111214.63,125000.0,111059.57,111145.59,151.48664
2025-09-07 15:00:00+00:00,111145.58,112971.3,110143.78,111330.0,52.33732
2025-09-07 16:00:00+00:00,111330.0,111371.34,110140.88,111202.01,43.78675
2025-09-07 17:00:00+00:00,111202.02,111364.53,110053.12,110962.84,53.98287
2025-09-07 18:00:00+00:00,110962.83,111063.0,110733.95,111053.76,53.04267
2025-09-07 19:00:00+00:00,111053.76,111305.73,110937.91,111257.52,32.47761
2025-09-07 20:00:00+00:00,111260.0,111362.09,111147.25,111337.23,36.40584
2025-09-07 21:00:00+00:00,111330.31,111330.31,111050.14,111050.14,20.46311
2025-09-07 22:00:00+00:00,111050.15,111364.4,110914.87,111250.0,51.23413
2025-09-07 23:00:00+00:00,111250.0,111600.0,111076.92,111137.34,44.35337
2025-09-08 00:00:00+00:00,111137.34,111293.26,110177.32,110837.95,41.22071
2025-09-08 01:00:00+00:00,110837.96,110995.12,110731.71,110916.02,18.80255
2025-09-08 02:00:00+00:00,110890.58,111372.0,108127.98,111227.13,31.4231
