timestamp,open,high,low,close,volume
2025-09-05 02:00:00,0.8147,0.8184,0.8127,0.8173,3318724.9
2025-09-05 03:00:00,0.8173,0.818,0.8131,0.8179,1574982.9
2025-09-05 04:00:00,0.8179,0.8199,0.8159,0.8193,1992474.7
2025-09-05 05:00:00,0.8192,0.8193,0.8164,0.8169,2035625.1
2025-09-05 06:00:00,0.8169,0.82,0.8146,0.8199,1947773.0
2025-09-05 07:00:00,0.8199,0.8308,0.8197,0.8302,7508151.5
2025-09-05 08:00:00,0.8301,0.8304,0.8258,0.8264,4788434.4
2025-09-05 09:00:00,0.8265,0.8282,0.8215,0.8281,3326456.0
2025-09-05 10:00:00,0.8281,0.831,0.8272,0.8272,3504394.7
2025-09-05 11:00:00,0.8273,0.832,0.8266,0.8318,5248819.8
2025-09-05 12:00:00,0.8319,0.85,0.8293,0.8449,30188842.6
2025-09-05 13:00:00,0.845,0.8475,0.8401,0.8436,9537359.8
2025-09-05 14:00:00,0.8436,0.844,0.8183,0.822,20176875.9
2025-09-05 15:00:00,0.8219,0.8283,0.8188,0.8248,5006084.0
2025-09-05 16:00:00,0.8248,0.8278,0.8207,0.8273,2791670.2
2025-09-05 17:00:00,0.8274,0.8278,0.8204,0.8223,2287256.2
2025-09-05 18:00:00,0.8222,0.833,0.8205,0.8317,3064577.1
2025-09-05 19:00:00,0.8317,0.8362,0.8307,0.8361,4097542.2
2025-09-05 20:00:00,0.8361,0.8387,0.8327,0.8385,2033952.2
2025-09-05 21:00:00,0.8386,0.8389,0.8275,0.8304,5123938.4
2025-09-05 22:00:00,0.8304,0.8353,0.83,0.8337,1306682.6
2025-09-05 23:00:00,0.8336,0.8347,0.8303,0.8307,2073878.2
2025-09-06 00:00:00,0.8306,0.8356,0.8302,0.8345,2187923.3
2025-09-06 01:00:00,0.8345,0.836,0.8312,0.8315,1503538.8
2025-09-06 02:00:00,0.8315,0.8338,0.8281,0.8337,1485018.8
2025-09-06 03:00:00,0.8336,0.8352,0.8322,0.8338,1885550.4
2025-09-06 04:00:00,0.8337,0.8338,0.8269,0.8283,2216860.6
2025-09-06 05:00:00,0.8284,0.8285,0.8234,0.8242,1945596.9
2025-09-06 06:00:00,0.8241,0.8258,0.8235,0.8242,1158774.5
2025-09-06 07:00:00,0.8242,0.8256,0.8239,0.8256,850188.0
2025-09-06 08:00:00,0.8255,0.8264,0.8236,0.8242,1180416.6
2025-09-06 09:00:00,0.8241,0.8241,0.8203,0.8209,2780269.6
2025-09-06 10:00:00,0.8209,0.8228,0.8188,0.8227,2175951.9
2025-09-06 11:00:00,0.8227,0.8235,0.8208,0.8233,1551199.7
2025-09-06 12:00:00,0.8233,0.8251,0.8216,0.8242,2603654.7
2025-09-06 13:00:00,0.8242,0.8266,0.8211,0.824,3364001.7
2025-09-06 14:00:00,0.824,0.8263,0.8234,0.8257,1477954.0
2025-09-06 15:00:00,0.8258,0.8281,0.821,0.8223,3951832.6
2025-09-06 16:00:00,0.8222,0.8253,0.82,0.8227,4328317.9
2025-09-06 17:00:00,0.8228,0.8234,0.8183,0.8194,1841167.6
2025-09-06 18:00:00,0.8193,0.822,0.8183,0.8207,1338301.9
2025-09-06 19:00:00,0.8206,0.8209,0.8143,0.8158,2384713.8
2025-09-06 20:00:00,0.8157,0.8206,0.8153,0.8206,1182240.0
2025-09-06 21:00:00,0.8206,0.8206,0.8181,0.8196,1027174.8
2025-09-06 22:00:00,0.8196,0.8205,0.817,0.8181,989475.9
2025-09-06 23:00:00,0.818,0.821,0.8162,0.8184,1162015.5
2025-09-07 00:00:00,0.8185,0.8224,0.818,0.8214,1173552.2
2025-09-07 01:00:00,0.8213,0.825,0.8209,0.8239,1676079.5
2025-09-07 02:00:00,0.824,0.826,0.823,0.8255,1178495.0
